PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,ONDERWIJSSTRUCTUUR,VAKANTIEREGIO
Groningen,41789,02UV,02UV17,Gomarus College voor Vwo Havo Mavo Vbo Lwoo,Vondelpad,2,9721 LX,GRONINGEN,GRONINGEN,Bijzonder,505244540,www.gomaruscollege.nl,VBO/MAVO,Noord
Groningen,41789,02UV,02UV18,Gomarus College voor Vwo Havo Mavo Vbo Lwoo,Vondelpad,3,9721 LX,GRONINGEN,GRONINGEN,Bijzonder,505244575,www.gomaruscollege.nl,BRUGJAAR,Noord
Groningen,41889,16IH,16IH00,Regionale Scholengemeenschap Ter Apel voor Ath Havo Mavo Lhno,Oude Weg,41,9561 LB,TER APEL,WESTERWOLDE,Openbaar,599581226,www.rsgterapel.nl,VBO/MAVO/HAVO/VWO,Noord
Groningen,41889,16IH,16IH03,Regionale Scholengemeenschap Ter Apel voor Ath Havo Mavo Lhno,Westerstraat,4,9561 SM,TER APEL,WESTERWOLDE,Openbaar, , ,BRUGJAAR,Noord
Groningen,42510,13ZU,13ZU00,Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo,Eikenlaan,286,9741 EW,GRONINGEN,GRONINGEN,Openbaar,503210610,www.kamerlinghonnes.nl,VBO/MAVO/HAVO/VWO,Noord
Groningen,42510,13ZU,13ZU02,Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo,Diamantlaan,27,9743 BA,GRONINGEN,GRONINGEN,Openbaar,503210625,www.leonvangelder.nl,VBO/MAVO,Noord
Groningen,42510,13ZU,13ZU03,Reitdiepcollege voor Atheneum Havo Mavo Vbo Lwoo,Travertijnstraat,2,9743 SZ,GRONINGEN,GRONINGEN,Openbaar,503124218, ,VBO/MAVO,Noord
Groningen,42510,17SG,17SG00,Heyerdahl College Openbare School voor Praktijkonderwijs,Kluiverboom,1-B,9732 KZ,GRONINGEN,GRONINGEN,Openbaar,505797999,www.heyerdahlcollege.nl,PRO,Noord
Groningen,42510,20BV,20BV00,Praedinius Gymnasium,Turfsingel,82,9711 VX,GRONINGEN,GRONINGEN,Openbaar,503120559,www.praedinius.nl,VWO,Noord
Groningen,42510,20BV,20BV01,Praedinius Gymnasium,Kruitlaan,11,9711 TW,GRONINGEN,GRONINGEN,Openbaar,503120559, ,VWO,Noord
