PROVINCIE,BRIN,INSTELLINGSCODE,VESTIGINGSCODE,NAAM,STRAATNAAM,HUISNUMMER,POSTCODE,PLAATSNAAM,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,VAKANTIEREGIO
Drenthe,32073,03WU,03WU00,Kindcentrum De Wegwijzer,Harm Tiesingstraat,74,9571 AZ,2E EXLOERMOND,BORGER-ODOORN,Protestants-Christelijk,599671206,www.ckcdewegwijzer.nl,Noord
Drenthe,32073,04LY,04LY00,Christelijk Kindcentrum De Borgh,Molenstraat,3-A,9531 CH,BORGER,BORGER-ODOORN,Protestants-Christelijk,599234254,www.cbsdeborgh.nl,Noord
Drenthe,32073,04TG,04TG00,Kindcentrum Drijber,Nijenkamp,29,9419 TM,DRIJBER,MIDDEN-DRENTHE,Protestants-Christelijk,593562543,www.cbsdrijber.nl,Noord
Drenthe,32073,05NQ,05NQ00,Christelijk Kindcentrum Menso Altingschool,Brinkhovenlaan,3-B,9765 BH,PATERSWOLDE,TYNAARLO,Protestants-Christelijk,503093854,www.cbs-mensoalting.nl,Noord
Drenthe,32073,05OC,05OC00,Dalton Kindcentrum ���t Kompas,Ceresstraat,6,9514 CA,GASSELTERNIJVEEN,AA EN HUNZE,Protestants-Christelijk,599512734,www.dkckompas.nl,Noord
Drenthe,32073,05RC,05RC00,Kindcentrum De Klister,Noorderdiep,123,9521 BC,NIEUW-BUINEN,BORGER-ODOORN,Protestants-Christelijk,599613864,www.cbsdeklister.nl,Noord
Drenthe,32073,05RD,05RD00,CKC School 59,Zuiderdiep,159,9521 AD,NIEUW-BUINEN,BORGER-ODOORN,Protestants-Christelijk,599212321,www.school59.nl,Noord
Drenthe,32073,05TN,05TN00,Dalton Kindcentrum De Vaart,Prof. Dr. Obbinkstraat,3-B,9423 PR,HOOGERSMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592459055,www.cbsdevaart.nl,Noord
Drenthe,32073,05TS,05TS00,Kindcentrum SPEEL en LEER,Kerklaan,3,9341 AV,VEENHUIZEN,NOORDENVELD,Protestants-Christelijk,592388355,www.kindcentrumspeelenleer.nl,Noord
Drenthe,32073,06HP,06HP00,Kindcentrum Het Octaaf,Witterhoofdweg,1-C,9405 HX,ASSEN,ASSEN,Protestants-Christelijk,592351506,www.octaafassen.nl,Noord
Drenthe,32073,06HZ,06HZ00,Dalton Kindcentrum De Wingerd,Floralaan,1-A,9421 NP,BOVENSMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592412991,www.cbsdewingerd.nl,Noord
Drenthe,32073,06LV,06LV00,Kindcentrum De Marke,De Weegbree,21,9461 KM,GIETEN,AA EN HUNZE,Protestants-Christelijk,592263113,www.demarkegieten.nl,Noord
Drenthe,32073,07AU,07AU00,Kindcentrum De Wegwijzer,Homaat,2,9431 MK,WESTERBORK,MIDDEN-DRENTHE,Protestants-Christelijk,593331305,www.wegwijzer-westerbork.nl,Noord
Drenthe,32073,07NN,07NN00,Kindcentrum De Holtenhoek,Holtenweg,5,9481 CN,VRIES,TYNAARLO,Protestants-Christelijk,592541644,www.deholtenhoek.nl,Noord
Drenthe,32073,08PP,08PP00,Kindcentrum De Schutkampen,Prins Hendrikstraat,2,9422 GJ,SMILDE,MIDDEN-DRENTHE,Protestants-Christelijk,592414010,www.cbsdeschutkampen.nl,Noord
Drenthe,32073,09KO,09KO00,Kindcentrum De Regenboog,Tuinstraat,5-B,9404 KK,ASSEN,ASSEN,Protestants-Christelijk,592316723,www.regenboogassen.nl,Noord
Drenthe,32073,09QP,09QP00,Kindcentrum Beatrix,Sportlaan,10,9411 BG,BEILEN,MIDDEN-DRENTHE,Protestants-Christelijk,593522718,www.cbsprinsesbeatrix.nl,Noord
Drenthe,32073,10IL,10IL00,Christelijk Kindcentrum Het Stroomdal,Esdoornlaan,1,9471 SH,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504093170,www.stroomdal.nl,Noord
Drenthe,32073,10KN,10KN00,Christelijk Dalton Kindcentrum De Eshorst,Esweg,106,9411 AK,BEILEN,MIDDEN-DRENTHE,Protestants-Christelijk,593523159,www.eshorst.nl,Noord
Drenthe,32073,10YQ,10YQ00,Dalton Kindcentrum Jonglaren,Ludinge,6,9471 JD,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504092079,www.jonglaren.nl,Noord
Drenthe,32073,11KN,11KN00,Kindcentrum De Lichtbaak,Amstelstraat,14-B,9406 TH,ASSEN,ASSEN,Protestants-Christelijk,592354150,www.delichtbaak.nl,Noord
Drenthe,32073,11VZ,11VZ00,Christelijk Kindcentrum Het Kompas,Einthovenstraat,26,9402 CB,ASSEN,ASSEN,Protestants-Christelijk,592354234,www.ckchetkompas.nl/,Noord
Drenthe,32073,12OR,12OR00,Kindcentrum De Scharmhof,Scharmbarg,1,9407 EA,ASSEN,ASSEN,Protestants-Christelijk,592343800,www.scharmhof.nl,Noord
Drenthe,32073,14ZS,14ZS00,Christelijk Kindcentrum Rehoboth,Rooilaan,154,7876 GW,VALTHERMOND,BORGER-ODOORN,Protestants-Christelijk,599662367,www.rehoboth-school.nl,Noord
Drenthe,32073,21LS,21LS00,Kindcentrum De Borg,Dusselheugte,13,9403 GN,ASSEN,ASSEN,Protestants-Christelijk,592370203,www.basisschooldeborg.nl,Noord
Drenthe,32073,21QU,21QU00,Kindcentrum De Tol,De Hilde,1,9472 WH,ZUIDLAREN,TYNAARLO,Protestants-Christelijk,504091804,www.kcdetol.nl,Noord
Drenthe,32073,27BM,27BM00,Kindcentrum Het Krijt,Schoolstraat,29,9408 MB,ASSEN,ASSEN,Protestants-Christelijk,592460370,www.cbshetkrijt.nl,Noord
Drenthe,32073,27WZ,27WZ00,Kindcentrum De Kloostertuin,Aletta Jacobsweg,80,9408 AM,ASSEN,ASSEN,Protestants-Christelijk,592350303,www.dekloostertuin.nl,Noord
Drenthe,32073,31LD,31LD00,CKC De Rietzanger,Borchsingel,39,9766 PP,EELDERWOLDE,TYNAARLO,Protestants-Christelijk,502053399,www.ckcderietzanger.nl,Noord
Drenthe,40655,03GR,03GR00,Het Mozaiek,De Stok,4,7913 RE,HOLLANDSCHEVELD,HOOGEVEEN,Protestants-Christelijk,528343291,www.pcbshetmozaiek.nl,Noord
Drenthe,40655,03GR,03GR01,Het Mozaiek,Zuideropgaande,150,7913 TR,HOLLANDSCHEVELD,HOOGEVEEN,Protestants-Christelijk,528361512, ,Noord
Drenthe,40888,04FH,04FH00,Sint Theresiaschool,Kerkweg,4,7741 PJ,COEVORDEN,COEVORDEN,Rooms-Katholiek,524514782,www.rkbstheresia.nl,Noord
Drenthe,40888,04ZO,04ZO00,Sint Willibrordus,Thorbeckestraat,1,7742 AJ,COEVORDEN,COEVORDEN,Rooms-Katholiek,524513531,www.willibrordusschool.nl,Noord
Drenthe,40888,06GS,06GS00,K B S De Plataan,Vledderstraat,3-E,7941 LC,MEPPEL,MEPPEL,Rooms-Katholiek,522251025,www.kbsdeplataan.nl,Noord
Drenthe,40888,06MU,06MU00,R.K. Basisschool Titus Brandsma,Herman Bavinckstraat,1,7901 BS,HOOGEVEEN,HOOGEVEEN,Rooms-Katholiek,528264115,www.tbschool.nl,Noord
Drenthe,40888,06QQ,06QQ00,St Franciscussch,Zuidersloot,61,7765 AG,WEITEVEEN,EMMEN,Rooms-Katholiek,524541495, ,Noord
Drenthe,40888,06SF,06SF00,Sint Gerardus Majella School,Europaweg,149,7766 AE,NIEUW-SCHOONEBEEK,EMMEN,Rooms-Katholiek,524541403, ,Noord
Drenthe,40888,07QO,07QO00,Rooms Katholieke Basisschool Panta Rhei,Jan van Scorelstraat,9,7741 XM,COEVORDEN,COEVORDEN,Rooms-Katholiek,524513467,www.pantarheischool.nl,Noord
Drenthe,40888,23VG,23VG00,Montessorischool Het Element,De Karn,5,7908 NX,HOOGEVEEN,HOOGEVEEN,Algemeen bijzonder,528220300, ,Noord
Drenthe,41052,03LC,03LC00,Christelijke Basisschool De Fontein,Westrupstraat,10,7841 AZ,SLEEN,COEVORDEN,Protestants-Christelijk,591361910,www.fonteinsleen.nl,Noord
Drenthe,41052,05OD,05OD00,Protestants Christelijk Basisschool De Wegwijzer,Schoolweg,2,7917 PX,GEESBRUG,COEVORDEN,Protestants-Christelijk,524291600,www.wegwijzergeesbrug.nl,Noord
Drenthe,41052,06ZY,06ZY00,Christelijke Basisschool de Schutse,Paardelandsdrift,9,7854 PR,AALDEN,COEVORDEN,Protestants-Christelijk,591371898,www.cbsdeschutse.nl,Noord
Drenthe,41052,07WO,07WO00,Christelijke Basisschool De Slagkrooie,Ringstraat,22,7848 BW,SCHOONOORD,COEVORDEN,Protestants-Christelijk,591382412,www.cbsdeslagkrooie.nl,Noord
Drenthe,41052,08CT,08CT00,Willem Alexanderschool,Oranjestraat,2,7753 TK,DALERPEEL,COEVORDEN,Protestants-Christelijk,524571956,www.waschooldp.nl,Noord
Drenthe,41052,10YA,10YA00,Mijndert van der Thynenschool,Jan van Scorelstraat,11,7741 XM,COEVORDEN,COEVORDEN,Protestants-Christelijk,524513283,www.mvdthijnenschool.nl,Noord
Drenthe,41052,11LS,11LS00,Paul Krugerschool,Van Heutszsingel,9,7741 ER,COEVORDEN,COEVORDEN,Protestants-Christelijk,524516182,www.paulkrugerschool.nl,Noord
Drenthe,41052,11WZ,11WZ00,Dr. Picardtschool,Van Pallandtlaan,7,7742 WJ,COEVORDEN,COEVORDEN,Protestants-Christelijk,524512148,www.drpicardt.nl,Noord
Drenthe,41196,04VK,04VK00,Christelijke Basisschool De Wel,Burg. Haitsmalaan,7,7948 AE,NIJEVEEN,MEPPEL,Protestants-Christelijk,522490461,www.cbsdewel.nl,Noord
Drenthe,41196,05NN,05NN00,Christelijke Basisschool De Fontein,Heuvelenweg,22-B,7991 CL,DWINGELOO,WESTERVELD,Protestants-Christelijk,521593196,www.cbsdefonteindwingeloo.nl,Noord
Drenthe,41196,05RN,05RN00,Protestants Christelijke Basisschool Nijensleek,Hoofdweg,136,8383 EK,NIJENSLEEK,WESTERVELD,Protestants-Christelijk,521381885,www.debroncbs.nl,Noord
Drenthe,41196,05SE,05SE00,School met de Bijbel De Akker,Hoogeveenseweg,28,7933 PG,PESSE,HOOGEVEEN,Protestants-Christelijk,528262566,www.deakkerpesse.nl,Noord
Drenthe,41196,05SX,05SX00,Protestants Christelijke Basisschool De Arendsvleugel,Bleekhof,2,7961 AW,RUINERWOLD,DE WOLDEN,Protestants-Christelijk,522481344,www.dearendsvleugel.nl,Noord
Drenthe,41196,07LB,07LB00,Basisschool Roosjen,Hoofdstraat,23,7981 AC,DIEVER,WESTERVELD,Protestants-Christelijk,521591513,www.roosjenschool.nl,Noord
Drenthe,41196,08PR,08PR00,Prins Johan Frisoschool voor Christelijk Basisonderwijs,Prinses Christinalaan,8,7958 SK,KOEKANGE,DE WOLDEN,Protestants-Christelijk,522451384,www.johanfrisoschool.nl,Noord
Drenthe,41196,09NT,09NT00,K.C. cbs De Heidevlinder,Heidelaan,1,7921 EA,ZUIDWOLDE DR,DE WOLDEN,Protestants-Christelijk,528372772,www.cbsdeheidevlinder.nl,Noord
Drenthe,41551,03RZ,03RZ00,Christelijke Nationale Basisschool De Bron,Ganzenroer,2,7833 GH,NIEUW-AMSTERDAM,EMMEN,Protestants-Christelijk,591551293,www.cbs-debron.nl,Noord
Drenthe,41551,04LL,04LL00,'t Twiespan,Vredenveld,78,7824 CJ,EMMEN,EMMEN,Protestants-Christelijk,591622409,www.twiespan.nl,Noord
Drenthe,41551,04WD,04WD00,Protestants Christelijke Basisschool Willem Alexander,Verlengde Vaart NZ,37,7887 EE,ERICA,EMMEN,Protestants-Christelijk,591301623,www.willem-alexander-erica.nl,Noord
Drenthe,41551,04XB,04XB00,Basisschool De Bentetop,Weerdingerkanaal ZZ,163,7831 AK,NIEUW-WEERDINGE,EMMEN,Protestants-Christelijk,591521405,www.bentetop.nl,Noord
Drenthe,41551,05KX,05KX00,cb de Zwaluw,Zandpolstraat,9,7764 AK,ZANDPOL,EMMEN,Protestants-Christelijk,591552655,www.cbdezwaluw.nl,Noord
Drenthe,41551,06KW,06KW00,Het Anker Protestants Christelijke Jenaplanschool,Distelvink,107,7827 DD,EMMEN,EMMEN,Protestants-Christelijk,591630597,www.hetankeremmen.nl,Noord
Drenthe,41551,07NY,07NY00,Groen van Prinstererschool,Dr. H. Blinkstraat,5,7815 VH,EMMEN,EMMEN,Protestants-Christelijk,591612464,www.groenvprinsterer.nl,Noord
Drenthe,41551,07OY,07OY00,Christelijk Basisschool De Oliebron,Europaweg,145,7761 AC,SCHOONEBEEK,EMMEN,Protestants-Christelijk,524531812,www.cbdeoliebron.nl,Noord
Drenthe,41551,11CZ,11CZ00,Het Palet,Geuzingerbrink,70,7812 NX,EMMEN,EMMEN,Protestants-Christelijk,591647653,www.cbshetpalet.nl,Noord
Drenthe,41551,11XM,11XM00,De Brug,Derksweg,264,7891 PR,KLAZIENAVEEN,EMMEN,Protestants-Christelijk,591312021,www.cbdebrug.nl,Noord
Drenthe,41551,12GW,12GW00,De Kap,De Kap,14,7891 LX,KLAZIENAVEEN,EMMEN,Protestants-Christelijk,591312054, ,Noord
Drenthe,41551,30AF,30AF00,CB Het Talent,Zandzoom,19,7814 VH,EMMEN,EMMEN,Interconfessioneel,591632273,www.hettalent.com,Noord
Drenthe,41571,10ID,10ID00,CBS De Parel,Dreesdestraat,40,9301 GG,RODEN,NOORDENVELD,Protestants-Christelijk,505017344,www.parel.pentaprimair.nl,Noord
Drenthe,41571,10YO,10YO00,CBS De Hoeksteen,Slangenborg,1,9301 VC,RODEN,NOORDENVELD,Protestants-Christelijk,505018556,hoeksteen.pentaprimair.nl,Noord
Drenthe,41624,06MY,06MY00,Basisschool De Rank,Hagedoorn,2,7822 CC,EMMEN,EMMEN,Gereformeerd vrijgemaakt,591615518,www.gbsderankemmen.nl,Noord
Drenthe,41629,04HW,04HW00,Basisschool Commissaris Gaarlandt,Rembrandtstraat,2,7948 AW,NIJEVEEN,MEPPEL,Openbaar,522491618,www.obscommissarisgaarlandt.nl/,Noord
Drenthe,41629,13AA,13AA00,OBS Sprinkels,Zuiderlaan,197-B,7944 EE,MEPPEL,MEPPEL,Openbaar,522799111,www.obssprinkels.nl,Noord
Drenthe,41629,13PS,13PS00,"Het Avontuur, Jenaplan Kindcentrum",Woldkade,1-A,7942 AH,MEPPEL,MEPPEL,Openbaar,522252124,www.hetavontuur.nl,Noord
Drenthe,41629,13TT,13TT00,De IJsvogel,Engelgaarde,33,7943 LD,MEPPEL,MEPPEL,Openbaar,522260651, ,Noord
Drenthe,41629,32EM,32EM00,Kindcentrum Noorderveld,Zuiderlaan,197-B,7944 EE,MEPPEL,MEPPEL,Openbaar, , ,Noord
Drenthe,41630,03EJ,03EJ00,De Smeltkroes,Witte Zandpad,1,7854 TW,AALDEN,COEVORDEN,Openbaar,591372813,www.desmeltkroes.nl,Noord
Drenthe,41630,06BR,06BR00,Openbare Basisschool De Anwende,Paardelandsdrift,5,7854 PR,AALDEN,COEVORDEN,Openbaar,591371677,www.anwende.nl,Noord
Drenthe,41630,09HH,09HH00,Basisschool De Akker,Oldenhoffstraat,5,7841 AJ,SLEEN,COEVORDEN,Openbaar,591361766, ,Noord
Drenthe,41630,10CY,10CY00,Basisschool De Vlinderhof,Odoornerweg,8,7846 TA,NOORD-SLEEN,COEVORDEN,Openbaar,591361357,www.obsdevlinderhof.nl,Noord
Drenthe,41630,11IS,11IS00,Burgemeester van Royenschool,Sportparklaan,20,7848 BB,SCHOONOORD,COEVORDEN,Openbaar,591381262,www.vanroyenschool.nl,Noord
Drenthe,41630,18NC,18NC00,Burg Wessels Boerschool,Molenwijk,4,7751 CG,DALEN,COEVORDEN,Openbaar,524551433, ,Noord
Drenthe,41630,18OE,18OE00,Openbare Basisschool De Zwarm,Coevorderstraatweg,6,7917 PR,GEESBRUG,COEVORDEN,Openbaar,524291300,www.dezwarm.nl,Noord
Drenthe,41630,18OH,18OH00,Marke-School,Middendorp,32,7754 MB,WACHTUM,COEVORDEN,Openbaar,524552206,www.markeschool.nl,Noord
Drenthe,41630,18OQ,18OQ00,Openbare Basisschool de Wilhelminaschool,Jan van Scorelstraat,13,7741 XM,COEVORDEN,COEVORDEN,Openbaar,524512485,www.dewilhelminaschool.nl,Noord
Drenthe,41630,18PP,18PP00,Stidal-School,Hoofdstraat,144,7755 NN,DALERVEEN,COEVORDEN,Openbaar,524221261,www.stidalschool.nl,Noord
Drenthe,41630,18PV,18PV00,Openbare Basisschool Buitenvree,Van Pallandtlaan,5,7742 WJ,COEVORDEN,COEVORDEN,Openbaar,524512232,www.obsbuitenvree.nl,Noord
Drenthe,41630,18QW,18QW00,Parkschool voor Openbare Basisschool,Poppenharelaan,1-3,7741 CS,COEVORDEN,COEVORDEN,Openbaar,524512567,www.parkschool.nl,Noord
Drenthe,41630,18RQ,18RQ00,Obs De Woert,Beatrixlaan,25,7861 AG,OOSTERHESSELEN,COEVORDEN,Openbaar,524581778,www.obsdewoert.nl,Noord
Drenthe,41632,06EP,06EP00,Kindcentrum Kornalijn,Emmastraat,43,7941 HN,MEPPEL,MEPPEL,Gereformeerd vrijgemaakt,522253644,www.kindcentrumkornalijn.nl,Noord
Drenthe,41632,15BQ,15BQ00,Het Koraal,Beukemastraat,44,7906 AN,HOOGEVEEN,HOOGEVEEN,Gereformeerd vrijgemaakt,528267382,www.basisschoolhetkoraal.nl,Noord
Drenthe,41803,23DR,23DR00,Basisschool Eben Haezer,Eenendertigste Wijk-N,1,7913 AA,HOLLANDSCHEVELD,HOOGEVEEN,Reformatorisch,528343536,www.ebenhaezer-school.nl,Noord
Drenthe,41812,07GE,07GE00,IKC De Meenthe,Floralaan,1-A,9421 NP,BOVENSMILDE,MIDDEN-DRENTHE,Openbaar,592412973,www.kitsprimair.nl/demeenthe,Noord
Drenthe,41812,08TL,08TL00,IKC Prinses Margriet,Prinses Margrietstraat,1,9422 EL,SMILDE,MIDDEN-DRENTHE,Openbaar,592412302,www.ikcprinsesmargriet.nl,Noord
Drenthe,41812,09RS,09RS00,Openbare Basisschool Pieter van Thuyl,Prof. Dr. Obbinkstraat,3,9423 PR,HOOGERSMILDE,MIDDEN-DRENTHE,Openbaar,592459043,www.ikcpietervanthuyl.nl,Noord
Drenthe,41812,10EH,10EH00,Basisschool de Lindelaar,Homaat,2,9431 MK,WESTERBORK,MIDDEN-DRENTHE,Openbaar,593331998,www.ikcdelindelaar.nl,Noord
Drenthe,41812,12EY,12EY00,Openbare Basisschool De Wenteling,Schiphorsten,2,9437 TD,BALINGE,MIDDEN-DRENTHE,Openbaar,593552441,www.ikcdewenteling.nl,Noord
Drenthe,41812,12OC,12OC00,IKC Meester Siebering,Haarweg,27,7938 PS,NIEUW-BALINGE,MIDDEN-DRENTHE,Openbaar,528321355,www.ikcmeestersiebering.nl,Noord
Drenthe,41812,18QS,18QS00,IKC Harm Smeenge,Hofstraat,18,9411 LB,BEILEN,MIDDEN-DRENTHE,Openbaar,593522615,www.ikcharmsmeenge.nl,Noord
Drenthe,41812,18SP,18SP00,IKC G.A. de Ridder,'t Spiek,2,9411 KV,BEILEN,MIDDEN-DRENTHE,Openbaar,593522030,www.ikcgaderidder.nl,Noord
Drenthe,41812,18TJ,18TJ00,IKC 't Hieker Nust,Westeinde,6,9415 PJ,HIJKEN,MIDDEN-DRENTHE,Openbaar,593525136,www.ikcthiekernust.nl,Noord
Drenthe,41812,18UK,18UK00,IKC De Bosvlinder,Bosweg,1,9414 BD,HOOGHALEN,MIDDEN-DRENTHE,Openbaar,593592317,www.bosvlinder.nl,Noord
Drenthe,41812,18UT,18UT00,IKC Zuiderenk,Drijberseweg,2,9418 PW,WIJSTER,MIDDEN-DRENTHE,Openbaar,593562250,www.ikczuiderenk.nl,Noord
Drenthe,41851,09FN,09FN00,Openbare Basisschool De Schuthoek,Julianalaan,67,9471 EB,ZUIDLAREN,TYNAARLO,Openbaar,504092009, ,Noord
Drenthe,41851,09FN,09FN01,Openbare Basisschool De Schuthoek,Dorpsstraat,25,9474 PB,ZUIDLAARDERVEEN,TYNAARLO,Openbaar,598491927, ,Noord
Drenthe,41851,10AV,10AV00,De Vijverstee,De Fledders,14,9481 GA,VRIES,TYNAARLO,Openbaar,592542205,www.vijverstee.nl,Noord
Drenthe,41851,10BK,10BK00,Basisschool Schuilingsoord,Hogeweg,7-C,9472 PA,ZUIDLAREN,TYNAARLO,Openbaar,504094148,www.schuilingsoord.nl,Noord
Drenthe,41851,10TA,10TA00,IKC Het Oelebred,Rozenstraat,18,9482 PP,TYNAARLO,TYNAARLO,Openbaar,592542023,www.oelebred.nl,Noord
Drenthe,41851,10TH,10TH00,OBDS De Zuid-Wester,Julianalaan,78,9471 EC,ZUIDLAREN,TYNAARLO,Openbaar,504091658,www.odbszuidwester.nl,Noord
Drenthe,41851,11HH,11HH00,De Duinstee,Betmersweg,2,9494 RB,YDE,TYNAARLO,Openbaar,504062332, ,Noord
Drenthe,41851,12DG,12DG00,obs De Zeijer Hoogte,Ubbenaseweg,7,9491 AA,ZEIJEN,TYNAARLO,Openbaar,592291476,www.obszeijen.nl,Noord
Drenthe,41851,18NM,18NM00,obs De Veenvlinder,Boomgaard,1-A,9761 TM,EELDE,TYNAARLO,Openbaar,503094324,www.obsdeveenvlinder.nl,Noord
Drenthe,41851,18OV,18OV00,OBS Ter Borch,Borchsingel,41,9766 PP,EELDERWOLDE,TYNAARLO,Openbaar,505218088,www.obs-terborch.nl,Noord
Drenthe,41851,18QA,18QA00,obs De Westerburcht,Jan Steenweg,1,9761 HJ,EELDE,TYNAARLO,Openbaar,503094437, ,Noord
Drenthe,41868,10DF,10DF00,BS De Bosrank,Havelter Schapendrift,22,7971 BC,HAVELTE,WESTERVELD,Openbaar,521227521,www.debosrank.nl,Noord
Drenthe,41868,11IZ,11IZ00,KC De Vuursteen,Oude Dijk,59,8351 HR,WAPSERVEEN,WESTERVELD,Openbaar,521321411,www.devuursteen.nl,Noord
Drenthe,41868,11UN,11UN00,Oosterveldschool,Schoolstraat,4,7975 AC,UFFELTE,WESTERVELD,Openbaar,521351307,www.oosterveldschool.nl,Noord
Drenthe,41868,18MM,18MM00,Openbare Basisschool De Hoekstee,De Hoek,26,8381 BL,VLEDDER,WESTERVELD,Openbaar,521381320,www.dehoekstee.nl,Noord
Drenthe,41868,18NW,18NW00,Burgemeester W.A. Storkschool,Heuvelenweg,22-A,7991 CL,DWINGELOO,WESTERVELD,Openbaar,521591347,www.storkschool.nl,Noord
Drenthe,41868,18PE,18PE00,Openbare Basisschool De Kievitshoek,Linthorst Homanstraat,24,8384 EE,WILHELMINAOORD,WESTERVELD,Openbaar,521381536,www.dekievitshoek.nl,Noord
Drenthe,41868,19IV,19IV00,Openbare Basisschool De Singelier,Schipper,11,7981 DV,DIEVER,WESTERVELD,Openbaar,521591257,www.desingelier.nl,Noord
Drenthe,41868,19KK,19KK00,Ten Darperschoele,Ten Darperweg,50,7983 KN,WAPSE,WESTERVELD,Openbaar,521551332,www.tendarperschoele.nl,Noord
Drenthe,41895,09HG,09HG00,KC 't Echtenest,Schoolakkers,2-B,7932 PM,ECHTEN DR,DE WOLDEN,Openbaar,528251558, ,Noord
Drenthe,41895,10RY,10RY00,KC De Klimtoren,Drogteropslagen,57,7705 PD,DROGTEROPSLAGEN,DE WOLDEN,Openbaar,523614130,www.obsdeklimtoren.nl,Noord
Drenthe,41895,10UN,10UN00,IKC 't Oelebr���d,Mr. Harm Smeengestraat,56,7963 BZ,RUINEN,DE WOLDEN,Openbaar,522471805,www.oelebrod.nl,Noord
Drenthe,41895,11GK,11GK00,KC De Bosrand,Jan Haarstraat,28,7926 TC,KERKENVELD,DE WOLDEN,Openbaar,528361666,www.bosrand-kerkenveld.nl,Noord
Drenthe,41895,12CO,12CO00,KC Het Veldboeket,Schoolweg,19,7924 PL,VEENINGEN,DE WOLDEN,Openbaar,528391555,www.hetveldboeket.info,Noord
Drenthe,41895,12TS,12TS00,IKC Het Groene Hart,Schoolbrink,1,7921 HG,ZUIDWOLDE DR,DE WOLDEN,Openbaar,528372007,www.wolderwijs.nl,Noord
Drenthe,41895,18IJ,18IJ00,OBS de Wezeboom,Schoolstraat,28,7961 NJ,RUINERWOLD,DE WOLDEN,Openbaar,522481330, ,Noord
Drenthe,41895,18KF,18KF00,Openbare Basisschool de Dissel-Daltonschool,Dijkhuizen,68-A,7961 AM,RUINERWOLD,DE WOLDEN,Openbaar,522481488,www.dedisselruinerwold.nl,Noord
Drenthe,41895,18KU,18KU00,Basisschool De Rozebottel,Sportlaan,14,7958 SM,KOEKANGE,DE WOLDEN,Openbaar,522451511,www.obsderozebottel.nl,Noord
Drenthe,41895,18NN,18NN00,IKC De Horst,Postweg,43-A,7957 BV,DE WIJK,DE WOLDEN,Openbaar,522441942,www.ikcdehorst.nl,Noord
Drenthe,41899,08EZ,08EZ00,Openbare Basisschool J. Emmens,Ceresstraat,8,9514 CA,GASSELTERNIJVEEN,AA EN HUNZE,Openbaar,599512743,www.obsjemmens.nl,Noord
Drenthe,41899,09FC,09FC00,Openbare Basisschool De Dobbe,Achter de Brinken,6-C,9462 RH,GASSELTE,AA EN HUNZE,Openbaar,599564750,www.obsdedobbe.nl,Noord
Drenthe,41899,09HW,09HW00,Basisschool De Flint,Markeweg,10,9454 PM,EKEHAAR,AA EN HUNZE,Openbaar,592389338,www.basisschooldeflint.nl,Noord
Drenthe,41899,10AB,10AB00,Basisschool Gieten,Spoorstraat,2,9461 DA,GIETEN,AA EN HUNZE,Openbaar,592262796,www.obs-gieten.nl,Noord
Drenthe,41899,10DK,10DK00,Basisschool De Drift,De Pol,4-A,9444 XE,GROLLOO,AA EN HUNZE,Openbaar,592501480,www.obsdedrift.nl,Noord
Drenthe,41899,10SG,10SG00,Bonnerschool,Bonnen,29,9461 AC,GIETEN,AA EN HUNZE,Openbaar,592262158,www.bonnerschool.nl,Noord
Drenthe,41899,10VA,10VA00,Basisschool Jan Thies,Menso Altinglaan,4,9451 KE,ROLDE,AA EN HUNZE,Openbaar,592241303,www.janthiesschool.nl,Noord
Drenthe,41899,11AK,11AK00,Basisschool Anloo,Kerkbrink,2,9467 PH,ANLOO,AA EN HUNZE,Openbaar,592272079,www.obsanloo.nl,Noord
Drenthe,41899,11GR,11GR00,Samenwerkingsschool Oostermoer,Bonnerveen,7-A,9511 PM,GIETERVEEN,AA EN HUNZE,Openbaar,599648953,www.swsoostermoer.nl,Noord
Drenthe,41899,11YV,11YV00,Basisschool de Eshoek,Molenakkers,30,9468 BM,ANNEN,AA EN HUNZE,Openbaar,592271316,www.eshoek.nl,Noord
Drenthe,41899,12HY,12HY00,Basisschool Prins Willem Alexander,'t Witzand,22,9463 PA,EEXT,AA EN HUNZE,Openbaar,596852718,www.pwaeext.nl,Noord
Drenthe,41899,12QP,12QP00,Basisschool de Kameleon,Dorpsstraat,54,9658 PC,EEXTERVEEN,AA EN HUNZE,Openbaar,598468377,www.dekameleoneexterveen.nl,Noord
Drenthe,42554,12LU,12LU00,o.b.s. De Meander,Molenstraat,3-B,9531 CH,BORGER,BORGER-ODOORN,Openbaar,599234690,www.obsdemeander-borger.nl,Noord
Drenthe,42554,12TV,12TV00,Daltonschool Ees,Schoolstraat,4,9536 PN,EES,BORGER-ODOORN,Openbaar,599235850,www.obs-daltonschoolees.nl,Noord
Drenthe,42554,13LA,13LA00,Ekkelhof,Schoolstraat,12,9533 PL,DROUWEN,BORGER-ODOORN,Openbaar,599565391,www.obs-ekkelhof.nl,Noord
